time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-28 00:00:00+00:00,6,2,13,3
2025-06-29 00:00:00+00:00,0,0,11,1
2025-06-30 00:00:00+00:00,1,1,14,3
2025-07-01 00:00:00+00:00,0,0,7,4
2025-07-02 00:00:00+00:00,4,1,4,2
2025-07-03 00:00:00+00:00,8,8,10,3
2025-07-04 00:00:00+00:00,0,0,4,2
2025-07-05 00:00:00+00:00,10,9,15,5
2025-07-06 00:00:00+00:00,7,5,3,3
2025-07-07 00:00:00+00:00,0,0,8,2
2025-07-08 00:00:00+00:00,2,2,12,2
2025-07-09 00:00:00+00:00,0,0,46,7
2025-07-10 00:00:00+00:00,5,2,4,1
2025-07-11 00:00:00+00:00,0,0,69,9
2025-07-12 00:00:00+00:00,21,17,111,12
2025-07-13 00:00:00+00:00,6,5,9,2
2025-07-14 00:00:00+00:00,12,10,122,9
